,superficie,lat,lng,time_ctrl,personal,medios,TMEDIA,RACHA,SOL,Año,PRES_RANGE,target
0,5.0,43.703581,-8.038777,3.55,14,2,11.3,16.9,10.2,2001,4.40000000000009,3
1,1.5,43.186836,-8.68547,2.05,5,0,9.0,11.1,10.2,2001,4.69999999999993,1
2,1.5,43.699889,-7.984566,1.5,9,1,13.9,13.9,12.1,2001,3.20000000000005,3
3,1.1,42.758649,-8.917814,3.1,18,2,13.9,13.9,12.1,2001,3.20000000000005,2
4,1.5,43.063218,-9.235604,1.35,14,1,13.9,13.9,12.1,2001,3.20000000000005,1
5,1.3,42.851086,-8.866091,2.55,19,2,14.2,12.8,11.8,2001,2.60000000000002,1
6,1.5,43.240732,-8.670253,2.25,6,2,12.7,9.2,11.8,2001,3.39999999999998,1
7,1.05,43.645998,-8.044866,3.1,11,0,12.9,11.9,6.4,2001,2.80000000000007,1
8,2.5,43.371826,-8.025395,2.12,6,1,12.9,11.9,6.4,2001,2.80000000000007,1
9,1.4,43.5844,-8.035015,2.25,6,1,13.5,16.4,11.2,2001,2.79999999999995,1
10,1.7,43.291593,-8.495562,3.2,9,1,13.5,16.4,11.2,2001,2.79999999999995,2
11,1.4,43.30714,-8.463079,2.05,16,2,13.5,16.4,11.2,2001,2.79999999999995,2
12,1.4,42.773828,-8.900901,3.45,7,0,13.5,16.4,11.2,2001,2.79999999999995,3
13,1.5,43.244306,-8.079977,2.05,9,1,13.5,16.4,11.2,2001,2.79999999999995,1
14,5.0,42.826981,-8.687411,3.25,16,2,13.5,16.4,11.2,2001,2.79999999999995,1
15,1.0,42.908835,-8.589152,2.14,11,2,11.9,11.1,6.5,2001,2.0,1
16,1.3,43.057849,-8.094067,1.5,5,1,11.9,11.1,6.5,2001,2.0,1
17,1.2,42.788957,-8.519923,1.0,8,1,11.9,11.1,6.5,2001,2.0,1
18,6.0,42.803509,-8.409987,2.45,9,2,11.9,11.1,6.5,2001,2.0,1
19,2.0,42.720584,-8.88716,2.45,6,1,11.9,11.1,6.5,2001,2.0,1
20,1.0,43.371826,-8.025395,1.3,6,1,11.9,11.1,6.5,2001,2.0,1
21,1.0,43.371826,-8.025395,3.35,11,2,11.9,11.1,6.5,2001,2.0,1
22,3.0,42.803773,-8.381428,1.55,15,0,10.8,12.5,6.4,2001,2.29999999999995,3
23,1.0,42.673902,-8.91086,2.2,6,1,10.8,12.5,6.4,2001,2.29999999999995,1
24,1.2,42.851086,-8.866091,1.4,16,2,10.2,13.1,8.4,2001,5.29999999999995,1
25,8.0,43.363698,-8.292697,2.45,14,3,10.2,13.1,8.4,2001,5.29999999999995,1
26,5.0,42.854833,-8.567981,1.5,28,4,10.2,13.1,8.4,2001,5.29999999999995,1
27,1.4,42.903258,-8.81752,2.2,5,1,10.9,10.0,3.1,2001,5.5,1
28,3.5,42.765558,-8.647949,2.3,12,2,13.7,13.6,11.8,2001,6.20000000000005,1
29,1.9,43.026913,-8.741116,1.5,6,1,13.7,13.6,11.8,2001,6.20000000000005,1
30,1.0,43.063218,-9.235604,1.1,9,1,14.6,8.9,8.5,2001,5.79999999999995,1
31,1.0,43.04568,-9.033727,1.4,12,1,16.3,7.8,12.5,2001,2.10000000000002,1
32,1.5,43.227333,-8.850752,2.45,13,1,16.3,7.8,12.5,2001,2.10000000000002,3
33,1.5,42.96218,-9.253058,2.0,28,2,16.3,7.8,12.5,2001,2.10000000000002,1
34,1.1,43.109135,-8.922754,3.5,6,1,16.3,7.8,12.5,2001,2.10000000000002,1
35,1.0,43.289192,-8.189155,0.45,7,0,14.9,12.8,13.0,2001,2.29999999999995,1
36,1.5,43.506013,-8.11102,2.35,14,2,14.9,12.8,13.0,2001,2.29999999999995,3
37,3.0,42.802734,-8.589146,1.55,14,2,14.9,12.8,13.0,2001,2.29999999999995,1
38,3.0,43.100946,-8.367323,1.5,7,1,15.7,14.2,13.3,2001,1.80000000000007,1
39,4.0,43.091084,-8.298987,3.35,1,2,15.7,14.2,13.3,2001,1.80000000000007,1
40,1.4,42.884114,-8.369176,1.23,6,1,15.7,14.2,13.3,2001,1.80000000000007,1
41,1.0,43.117091,-8.905523,1.4,11,0,17.5,10.3,13.3,2001,4.10000000000002,1
42,2.0,43.083016,-8.450777,2.05,6,2,15.2,7.2,6.0,2001,5.0,1
43,1.0,42.709977,-8.787082,1.35,14,2,14.8,6.7,7.4,2001,3.69999999999993,1
44,1.5,43.0464,-8.693641,3.5,7,2,14.8,6.7,7.4,2001,3.69999999999993,1
45,3.0,43.0464,-8.693641,2.5,12,3,14.8,6.7,7.4,2001,3.69999999999993,1
46,1.0,43.374292,-8.192836,1.5,9,1,14.8,6.7,7.4,2001,3.69999999999993,3
47,1.0,43.124887,-8.833016,1.1,5,1,15.2,6.4,5.5,2001,0.899999999999977,3
48,3.5,43.0464,-8.693641,3.4,8,2,15.2,6.4,5.5,2001,0.899999999999977,1
49,1.2,42.854833,-8.567981,1.55,5,1,16.0,6.7,4.1,2001,1.19999999999993,1
50,2.0,43.058246,-9.157875,3.15,21,1,16.8,7.5,8.0,2001,2.39999999999998,1
51,1.5,42.916698,-8.94043,1.35,11,2,19.2,5.0,10.8,2001,0.899999999999977,1
52,1.5,43.057849,-8.094067,4.0,10,2,19.2,5.0,10.8,2001,0.899999999999977,2
53,1.0,43.251187,-8.197358,2.35,8,1,17.6,6.4,8.2,2001,2.79999999999995,1
54,1.4,42.826981,-8.687411,2.0,6,1,17.6,6.4,8.2,2001,2.79999999999995,1
55,1.7,42.826981,-8.687411,1.4,11,3,17.6,6.4,8.2,2001,2.79999999999995,1
56,1.5,42.826981,-8.687411,1.2,6,1,17.0,7.8,4.1,2001,4.39999999999998,1
57,2.0,43.567613,-8.219855,3.25,7,1,17.5,14.2,3.3,2001,2.0,1
58,1.0,42.955292,-8.071765,1.35,5,1,17.8,15.0,12.9,2001,2.60000000000002,1
59,1.6,43.21314,-8.692291,1.25,5,1,17.8,15.0,12.9,2001,2.60000000000002,3
60,4.0,43.594099,-8.130649,3.1,16,2,17.8,15.0,12.9,2001,2.60000000000002,2
61,2.0,43.14477,-8.100581,3.35,10,2,17.8,15.0,12.9,2001,2.60000000000002,1
62,1.0,43.163261,-8.242943,1.0,6,1,17.1,15.0,13.2,2001,2.69999999999993,1
63,3.5,42.786588,-8.648783,3.0,6,1,17.1,15.0,13.2,2001,2.69999999999993,1
64,2.6,42.845404,-8.623962,4.0,9,2,16.3,6.4,7.1,2001,4.59999999999991,1
65,1.0,43.612623,-8.099574,1.35,5,2,16.3,6.4,7.1,2001,4.59999999999991,1
66,1.0,43.534708,-8.185687,1.1,7,2,15.2,6.4,11.1,2001,6.39999999999998,1
67,3.0,43.291593,-8.495562,1.25,18,2,17.4,12.5,7.6,2001,2.40000000000009,1
68,1.5,42.997438,-8.682929,1.35,15,2,18.4,10.6,3.8,2001,1.79999999999995,1
69,3.0,42.572775,-8.990898,3.25,11,3,21.0,5.3,13.1,2001,4.5,1
70,1.5,43.068876,-8.926821,1.25,5,2,21.0,5.3,13.1,2001,4.5,1
71,3.0,42.854833,-8.567981,3.25,15,2,22.7,8.1,13.4,2001,2.10000000000002,1
72,2.5,42.903258,-8.81752,3.15,4,1,22.7,8.1,13.4,2001,2.10000000000002,1
73,1.35,43.05101,-8.328803,2.4,10,1,22.7,8.1,13.4,2001,2.10000000000002,1
74,1.22,42.572775,-8.990898,1.45,8,3,22.7,8.1,13.4,2001,2.10000000000002,1
75,2.5,43.159789,-7.980296,4.05,19,3,16.9,7.5,10.0,2001,1.79999999999995,1
76,2.0,42.550215,-9.015749,1.55,12,2,16.9,7.5,10.0,2001,1.79999999999995,1
77,1.1,43.567613,-8.219855,1.45,9,2,16.9,7.5,10.0,2001,1.79999999999995,1
78,3.05,43.473549,-8.287918,2.45,17,5,16.9,7.5,10.0,2001,1.79999999999995,1
79,1.0,43.057578,-8.547833,0.45,5,1,16.2,6.4,0.5,2001,2.39999999999998,1
80,3.5,42.845404,-8.623962,1.2,17,3,16.2,6.4,0.5,2001,2.39999999999998,1
81,2.2,43.090275,-8.772107,1.5,10,1,17.8,13.1,10.3,2001,1.80000000000007,1
82,1.0,42.860227,-8.804536,2.25,11,2,17.8,13.1,10.3,2001,1.80000000000007,1
83,1.3,43.096447,-8.175458,2.35,1,1,18.2,7.5,13.2,2001,3.5,1
84,5.5,43.030576,-8.313216,3.4,6,2,18.2,7.5,13.2,2001,3.5,1
85,1.15,43.549187,-8.250286,1.45,10,4,18.2,7.5,13.2,2001,3.5,2
